order,machine,gt
• date133 item938 15015 0 5,"• machine23 6.0
• machine30 6.5
• machine21 5.75
• machine08 5.72",
• date133 item949 7168 0 3,"• machine10 4.67
• machine08 3.22
• machine28 4.56
• machine14 3.0
• machine22 3.85
• machine21 3.96","• machine08 1
• machine10 1
• machine14 1"
• date134 item1002 86821 0 8,"• machine21 10.67
• machine24 5.35","• machine21 5
• machine24 3"
• date134 item1006 86821 0 30,"• machine14 8.67
• machine23 7.37","• machine14 5
• machine23 25"
• date134 item1114 105576 0 236,"• machine01 40.0
• machine16 23.5
• machine19 30.01
• machine06 23.74
• machine20 10.0
• machine17 16.5
• machine32 24.46
• machine05 27.63
• machine03 43.33","• machine01 13
• machine03 9
• machine05 15
• machine06 7
• machine16 6
• machine17 8
• machine19 10
• machine20 13"
• date134 item1193 179208 0 30,• machine20 15.0,• machine20 30
• date134 item1410 179208 0 31,"• machine17 43.0
• machine19 20.34","• machine17 12
• machine19 19"
• date134 item1462 81204 0 8,• machine28 8.82,• machine28 8
• date134 item1531 179208 0 98,"• machine19 27.0
• machine06 22.5","• machine06 49
• machine19 49"
• date134 item1537 101291 1 19,"• machine14 7.51
• machine29 12.33","• machine14 11
• machine29 8"
• date134 item1799 86821 0 15,• machine33 7.87,• machine33 15
• date134 item1879 104092 0 90,"• machine01 5.32
• machine05 33.0
• machine20 42.0
• machine06 5.32
• machine32 5.33","• machine01 24
• machine05 23
• machine06 17
• machine20 21
• machine32 5"
• date134 item2110 6498 1 1,• machine10 1.5,• machine10 1
• date134 item2164 6498 0 5,• machine28 2.61,• machine28 5
• date134 item2184 9067 0 3,"• machine10 3.34
• machine28 4.43
• machine08 3.69
• machine29 3.91
• machine33 4.71
• machine09 3.42
• machine21 3.64","• machine08 1
• machine21 1"
• date134 item2219 40311 0 86,"• machine32 9.5
• machine09 9.67
• machine21 9.5
• machine23 9.5
• machine08 7.5","• machine08 18
• machine09 9
• machine21 12
• machine23 5
• machine32 4"
• date134 item2678 52115 0 12,• machine03 6.0,• machine03 12
• date134 item2891 179208 0 90,"• machine21 4.0
• machine08 1.67
• machine32 40.0","• machine21 7
• machine32 1"
• date134 item2940 6498 0 6,"• machine10 2.33
• machine21 1.17","• machine10 3
• machine21 3"
• date134 item3058 24360 0 5,"• machine32 6.57
• machine21 5.0
• machine08 4.67
• machine33 6.15","• machine08 1
• machine21 1
• machine32 2
• machine33 1"
• date134 item3145 8493 0 4,• machine29 4.5,• machine29 4
• date134 item3230 6498 0 5,"• machine08 3.42
• machine21 2.0","• machine08 4
• machine21 1"
• date134 item3354 6498 0 5,• machine21 2.5,• machine21 5
• date134 item3523 104092 0 14,"• machine01 7.5
• machine05 21.13
• machine32 25.0
• machine19 14.25
• machine20 5.17","• machine01 2
• machine05 4
• machine19 3
• machine20 4
• machine32 1"
• date134 item3567 7149 0 14,"• machine21 5.5
• machine28 2.0","• machine21 5
• machine28 9"
• date134 item3731 86821 0 7,"• machine14 8.17
• machine33 7.5","• machine14 2
• machine33 5"
• date134 item3986 179208 0 50,"• machine20 3.0
• machine05 22.0","• machine05 30
• machine20 20"
• date134 item3988 103554 0 18,• machine29 9.0,• machine29 18
• date134 item4009 23148 0 4,"• machine08 5.06
• machine22 3.76
• machine29 4.0
• machine28 3.75
• machine21 5.0
• machine09 5.17
• machine10 4.59
• machine23 4.58","• machine09 1
• machine22 1
• machine23 1
• machine29 1"
• date134 item4017 104092 0 195,"• machine19 40.18
• machine17 45.0
• machine20 32.0
• machine06 38.0
• machine05 40.0","• machine05 53
• machine06 74
• machine17 9
• machine19 24
• machine20 35"
• date134 item4049 26209 0 110,"• machine14 6.0
• machine09 5.83
• machine08 8.33
• machine21 7.0
• machine30 5.83
• machine23 6.57
• machine28 5.17
• machine29 6.18
• machine05 7.0","• machine05 17
• machine08 15
• machine09 20
• machine14 8
• machine21 5
• machine23 14
• machine28 3
• machine29 11
• machine30 18"
• date134 item4152 179208 1 72,"• machine32 13.0
• machine28 13.5
• machine05 10.0","• machine05 14
• machine28 25
• machine32 33"
• date134 item4220 6498 0 1,• machine23 1.75,• machine23 1
• date134 item4276 73747 0 32,"• machine30 6.34
• machine08 5.75
• machine09 5.56","• machine08 7
• machine09 12
• machine30 13"
• date134 item4319 109155 0 24,"• machine17 25.74
• machine05 33.0
• machine06 22.23
• machine16 24.0
• machine03 28.7
• machine19 24.67
• machine01 11.02","• machine01 5
• machine03 4
• machine05 4
• machine06 2
• machine16 5
• machine17 1
• machine19 3"
• date134 item4332 104092 0 274,"• machine06 20.99
• machine01 18.53
• machine03 18.88
• machine16 16.33
• machine19 31.24
• machine05 34.0","• machine01 58
• machine03 62
• machine05 18
• machine06 21
• machine16 73
• machine19 41"
• date134 item4419 33644 0 86,"• machine23 5.33
• machine09 6.0
• machine14 5.5
• machine21 6.0
• machine29 5.13
• machine22 6.63
• machine08 6.83
• machine10 4.83","• machine08 16
• machine09 10
• machine10 4
• machine14 14
• machine21 3
• machine22 10
• machine23 11
• machine29 17"
• date134 item4573 6498 1 1,• machine09 1.8,• machine09 1
• date134 item4794 41077 0 8,"• machine10 8.0
• machine21 9.0
• machine09 9.69
• machine35 8.32
• machine14 8.83
• machine28 8.0","• machine09 1
• machine10 1
• machine14 1
• machine21 2
• machine28 1
• machine35 2"
• date134 item4810 13232 1 4,"• machine21 4.0
• machine23 5.0
• machine10 4.0
• machine22 6.13","• machine21 1
• machine22 1
• machine23 2"
• date134 item4873 50351 0 30,"• machine32 8.78
• machine14 9.0
• machine28 5.16
• machine21 8.33","• machine14 11
• machine21 10
• machine28 5
• machine32 3"
• date134 item4892 179208 1 21,• machine20 42.44,• machine20 21
• date134 item4922 6498 0 1,• machine23 1.17,• machine23 1
• date134 item4990 35875 0 6,"• machine08 6.42
• machine14 5.39
• machine10 7.17
• machine09 6.81
• machine07 6.15
• machine21 6.35
• machine04 8.07
• machine28 6.17","• machine04 1
• machine09 1
• machine10 1
• machine14 1
• machine21 1
• machine28 1"
• date134 item5127 12406 1 4,"• machine10 4.6
• machine23 3.82
• machine21 4.03
• machine29 4.81
• machine04 4.67
• machine28 3.67
• machine08 3.72
• machine14 4.0
• machine09 3.75","• machine09 1
• machine23 1
• machine28 1
• machine29 1"
• date134 item5146 179208 1 5,• machine23 11.83,• machine23 5
• date134 item5159 106952 0 54,"• machine06 22.62
• machine05 6.17
• machine01 5.0
• machine19 21.49","• machine01 3
• machine05 14
• machine06 25
• machine19 13"
• date134 item523 86821 0 16,• machine24 8.0,• machine24 16
• date134 item532 12881 0 18,"• machine04 5.5
• machine35 4.0","• machine04 9
• machine35 9"
• date134 item5452 27256 1 5,"• machine14 2.12
• machine10 2.0
• machine09 1.42","• machine09 2
• machine10 3
• machine14 1"
• date134 item570 7149 0 1,• machine28 3.83,• machine28 1
• date134 item5706 179208 0 16,"• machine06 17.33
• machine19 15.63","• machine06 8
• machine19 8"
• date134 item626 43171 0 36,"• machine09 10.67
• machine30 11.5
• machine21 10.67
• machine28 5.42","• machine09 11
• machine21 1
• machine28 2
• machine30 11"
• date134 item6419 179208 0 30,"• machine06 21.53
• machine16 47.5
• machine19 21.0","• machine06 9
• machine16 17
• machine19 4"
• date134 item6483 106952 0 31,"• machine01 40.0
• machine19 22.26
• machine17 38.0
• machine06 27.4","• machine01 12
• machine06 10
• machine17 5
• machine19 4"
• date134 item811 29756 1 65,"• machine08 6.77
• machine21 7.13
• machine04 8.22
• machine35 6.71
• machine28 6.67
• machine31 7.67
• machine07 7.83
• machine14 6.5
• machine23 6.73
• machine09 6.55","• machine04 7
• machine07 8
• machine08 9
• machine09 2
• machine14 6
• machine21 8
• machine23 6
• machine28 6
• machine31 5
• machine35 8"
• date134 item963 179208 1 72,"• machine06 60.0
• machine16 85.0","• machine06 29
• machine16 43"
• date135 item1069 20470 0 24,"• machine30 1.9
• machine22 1.55
• machine21 1.88
• machine10 2.33
• machine23 2.85
• machine08 3.1
• machine09 1.91
• machine14 1.72","• machine08 4
• machine09 4
• machine10 2
• machine14 1
• machine21 4
• machine22 4
• machine23 3
• machine30 3"
• date135 item1115 95463 0 618,"• machine33 7.07
• machine06 41.68
• machine16 14.83
• machine03 33.33
• machine17 60.0
• machine20 12.5
• machine05 41.17
• machine19 31.64
• machine01 42.29
• machine32 28.34","• machine01 4
• machine03 30
• machine05 1
• machine06 15
• machine16 20
• machine17 22
• machine19 32
• machine20 8
• machine32 32
• machine33 36"
• date135 item1158 45374 0 58,"• machine10 9.74
• machine28 9.87
• machine21 7.82
• machine23 8.59
• machine04 9.82
• machine08 9.5
• machine09 7.71","• machine04 7
• machine08 15
• machine09 1
• machine10 13
• machine21 5
• machine23 10
• machine28 7"
• date135 item1421 81204 0 17,"• machine04 10.0
• machine29 7.9",• machine29 17
• date135 item1465 27256 0 7,"• machine21 2.5
• machine23 3.0
• machine22 2.69","• machine21 3
• machine22 3
• machine23 1"
• date135 item1605 6498 0 6,• machine22 3.0,• machine22 6
• date135 item1763 6498 1 6,• machine23 3.0,• machine23 6
• date135 item1955 179208 0 37,"• machine06 45.0
• machine32 30.0","• machine06 13
• machine32 22"
• date135 item2045 8493 0 4,• machine08 4.29,• machine08 4
• date135 item205 15218 0 6,"• machine31 6.42
• machine20 6.0
• machine28 7.0
• machine34 6.57
• machine10 6.33","• machine10 1
• machine28 2
• machine31 2
• machine34 1"
• date135 item211 33640 1 4,"• machine34 4.91
• machine11 4.75
• machine04 4.42","• machine04 1
• machine11 2
• machine34 1"
• date135 item23 6498 0 1,• machine22 2.1,• machine22 1
• date135 item2347 179208 0 22,• machine05 44.0,• machine05 22
• date135 item2411 179208 0 180,"• machine04 43.82
• machine20 27.73
• machine06 20.0","• machine04 6
• machine06 7
• machine20 3"
• date135 item2516 179208 1 29,• machine04 14.5,• machine04 1
• date135 item255 6498 0 1,• machine22 1.0,• machine22 1
• date135 item2782 17684 0 4,"• machine21 4.0
• machine28 4.0
• machine10 4.0
• machine23 4.0","• machine23 2
• machine28 2"
• date135 item2861 7149 0 3,• machine21 3.83,• machine21 3
• date135 item2981 6498 0 1,• machine21 1.67,• machine21 1
• date135 item3207 6498 0 6,• machine33 3.04,• machine33 6
• date135 item3215 52115 0 3,• machine04 6.5,• machine04 3
• date135 item3256 113012 0 26,"• machine21 7.17
• machine23 9.83
• machine04 10.0","• machine04 13
• machine21 2
• machine23 11"
• date135 item3420 6332 0 9,"• machine10 2.49
• machine28 2.96
• machine21 2.68
• machine23 3.25","• machine10 2
• machine21 2
• machine23 2
• machine28 2"
• date135 item3434 6498 0 6,"• machine32 3.5
• machine19 3.5","• machine19 3
• machine32 3"
• date135 item347 6498 1 1,• machine21 1.0,• machine21 1
• date135 item3490 13140 0 9,"• machine28 5.95
• machine21 4.67","• machine21 8
• machine28 1"
• date135 item3676 81204 0 17,• machine09 8.67,• machine09 17
• date135 item3748 81204 0 17,• machine28 8.83,• machine28 17
• date135 item3934 49390 0 106,"• machine10 6.92
• machine32 10.0
• machine08 10.11
• machine09 7.09
• machine28 5.96
• machine14 7.78
• machine21 8.06","• machine08 11
• machine09 15
• machine10 17
• machine14 25
• machine21 14
• machine28 7
• machine32 17"
• date135 item3959 52115 0 24,"• machine22 10.7
• machine29 2.0","• machine22 15
• machine29 9"
• date135 item409 41077 0 94,"• machine32 7.07
• machine10 12.0
• machine21 8.32
• machine14 11.17
• machine28 7.67
• machine08 2.33","• machine08 27
• machine10 4
• machine14 27
• machine21 14
• machine28 15
• machine32 7"
• date135 item4143 86821 0 7,• machine30 7.82,• machine30 7
• date135 item4238 179208 0 117,• machine05 58.92,• machine05 117
• date135 item4568 179208 0 50,"• machine05 17.33
• machine20 16.0
• machine33 17.83","• machine05 1
• machine33 3"
• date135 item4632 104092 1 20,"• machine20 20.5
• machine06 25.5
• machine05 19.67
• machine01 18.0
• machine32 17.5","• machine01 7
• machine05 2
• machine06 6
• machine20 2
• machine32 3"
• date135 item4758 179208 0 32,"• machine20 12.53
• machine05 20.0","• machine05 1
• machine20 1"
• date135 item4769 6516 0 20,"• machine21 2.04
• machine28 2.29
• machine10 2.22
• machine29 2.58
• machine08 2.36","• machine08 2
• machine10 5
• machine21 5
• machine28 3
• machine29 4"
• date135 item4966 6498 0 3,• machine09 3.58,• machine09 3
• date135 item4998 104092 0 24,"• machine19 29.17
• machine01 5.0
• machine06 31.7
• machine05 34.67
• machine16 6.0
• machine03 38.0","• machine01 4
• machine03 4
• machine05 4
• machine06 4
• machine16 4
• machine19 4"
• date135 item5143 81204 0 16,"• machine33 10.14
• machine32 6.4","• machine32 5
• machine33 11"
• date135 item5329 14698 0 5,"• machine34 4.67
• machine09 6.08
• machine31 5.37
• machine04 6.5","• machine04 1
• machine09 1
• machine31 1
• machine34 1"
• date135 item543 104092 1 138,"• machine03 30.0
• machine19 25.02
• machine05 28.23
• machine20 30.8
• machine01 25.0","• machine01 8
• machine03 7
• machine05 8
• machine19 5
• machine20 4"
• date135 item5643 77242 1 7,"• machine22 7.42
• machine28 7.09","• machine22 4
• machine28 3"
• date135 item5812 179208 1 32,"• machine32 16.77
• machine20 16.42","• machine20 14
• machine32 18"
• date135 item5871 179208 0 23,• machine20 23.11,
• date135 item5891 10156 1 26,"• machine09 2.27
• machine29 1.97
• machine08 2.78
• machine23 3.01
• machine21 2.04
• machine22 0.7
• machine10 1.58
• machine34 1.0
• machine30 1.0","• machine08 1
• machine09 4
• machine10 4
• machine21 3
• machine22 2
• machine23 2
• machine29 4
• machine30 4
• machine34 3"
• date135 item5964 6498 0 1,• machine14 3.25,• machine14 1
• date135 item6002 98424 0 17,"• machine17 18.21
• machine16 24.89
• machine18 20.0
• machine06 22.41
• machine19 6.92
• machine01 16.0
• machine05 16.93
• machine20 17.47
• machine03 25.0
• machine32 13.45
• machine33 16.5","• machine03 1
• machine05 3
• machine06 3
• machine16 1
• machine17 1
• machine18 2
• machine19 2
• machine32 3"
• date135 item613 6498 0 2,"• machine23 2.0
• machine22 2.87","• machine22 1
• machine23 1"
• date135 item6411 21121 0 26,"• machine21 4.22
• machine09 3.65
• machine10 4.09
• machine35 3.82
• machine30 3.72
• machine28 3.67
• machine08 3.78
• machine14 3.67","• machine08 4
• machine09 3
• machine10 4
• machine14 2
• machine21 5
• machine28 3
• machine30 2
• machine35 3"
• date135 item6418 81393 1 65,"• machine07 8.75
• machine35 8.82
• machine28 7.6
• machine31 9.5
• machine04 9.42
• machine08 9.27
• machine21 7.41
• machine09 8.15","• machine04 3
• machine07 5
• machine08 13
• machine09 9
• machine21 3
• machine28 12
• machine31 9
• machine35 12"
• date135 item6457 15015 0 21,"• machine23 6.84
• machine29 6.58
• machine10 4.64
• machine28 5.72","• machine10 7
• machine23 6
• machine28 5
• machine29 3"
• date135 item6614 6498 1 4,• machine23 2.0,• machine23 4
• date135 item703 6516 0 14,"• machine28 1.17
• machine29 1.79
• machine09 1.9
• machine30 0.95
• machine10 3.13
• machine21 1.08","• machine09 6
• machine10 1
• machine21 2
• machine28 1
• machine29 1
• machine30 2"
• date135 item752 8416 0 16,"• machine21 2.76
• machine22 2.59
• machine30 2.85
• machine09 2.64
• machine34 3.12
• machine08 2.68
• machine23 3.25","• machine08 1
• machine09 3
• machine21 3
• machine22 1
• machine23 3
• machine30 2
• machine34 3"
• date136 item1232 6516 0 3,"• machine21 3.3
• machine31 3.07
• machine34 3.38
• machine23 3.67
• machine09 2.96","• machine23 1
• machine34 1"
• date136 item1278 179208 1 14,"• machine08 14.83
• machine23 14.5","• machine08 11
• machine23 3"
• date136 item1343 27256 1 2,"• machine28 2.33
• machine08 2.0
• machine14 2.17","• machine08 1
• machine14 1
• machine28 1"
• date136 item1531 179208 0 49,"• machine19 27.0
• machine06 22.5","• machine06 38
• machine19 11"
• date136 item1535 7168 0 20,"• machine29 2.33
• machine28 6.67
• machine22 2.56
• machine10 4.34
• machine33 4.83
• machine08 2.63","• machine08 3
• machine10 2
• machine22 2
• machine28 5
• machine29 5
• machine33 4"
• date136 item1586 102669 0 8,"• machine21 14.0
• machine32 5.44
• machine35 5.85","• machine21 4
• machine32 3
• machine35 1"
• date136 item1739 7149 0 1,• machine08 3.71,• machine08 1
• date136 item1792 179208 0 80,• machine19 80.0,• machine19 15
• date136 item1816 52115 0 6,• machine23 6.0,• machine23 6
• date136 item1994 179208 0 10,• machine23 10.0,• machine23 6
• date136 item2145 73747 0 5,"• machine21 5.67
• machine04 5.67
• machine09 6.27","• machine04 2
• machine09 1
• machine21 2"
• date136 item2160 179208 0 5,• machine23 11.67,• machine23 1
• date136 item2269 179208 1 90,• machine05 45.0,• machine05 3
• date136 item2396 179208 0 120,• machine06 60.0,• machine06 120
• date136 item2500 8493 0 8,• machine21 4.32,• machine21 6
• date136 item2553 179208 1 27,• machine06 55.0,• machine06 3
• date136 item256 6498 0 2,• machine21 1.29,• machine21 2
• date136 item2639 40772 0 54,"• machine23 8.0
• machine10 6.0
• machine28 6.0
• machine29 7.99","• machine10 7
• machine23 10
• machine28 17
• machine29 20"
• date136 item3282 179208 0 41,• machine32 20.55,• machine32 41
• date136 item3325 6498 0 3,• machine32 1.66,• machine32 3
• date136 item3339 179208 0 32,• machine06 65.0,• machine06 32
• date136 item3377 179208 1 44,• machine05 22.0,• machine05 1
• date136 item34 6498 0 5,"• machine08 2.54
• machine28 3.12","• machine08 3
• machine28 2"
• date136 item3518 52115 1 12,• machine14 6.33,• machine14 12
• date136 item3587 179208 0 207,"• machine06 66.77
• machine19 73.07
• machine16 68.04","• machine06 66
• machine16 90
• machine19 42"
• date136 item3597 81204 0 17,• machine10 8.64,• machine10 1
• date136 item3767 113012 0 56,"• machine10 6.88
• machine28 9.11
• machine23 13.32","• machine10 36
• machine23 9
• machine28 11"
• date136 item3878 179208 0 9,• machine05 18.2,
• date136 item4160 145749 0 418,"• machine19 25.0
• machine03 25.0
• machine01 26.37
• machine32 28.5
• machine16 25.0
• machine20 27.17
• machine05 28.32
• machine06 25.96","• machine01 21
• machine03 6
• machine05 2
• machine06 19
• machine16 15
• machine19 5
• machine20 11
• machine32 4"
• date136 item4351 102669 1 23,"• machine08 8.61
• machine09 8.14
• machine14 7.78","• machine08 9
• machine09 8
• machine14 6"
• date136 item4452 6498 0 2,• machine23 1.0,• machine23 2
• date136 item4620 145749 0 81,"• machine28 12.82
• machine32 9.6
• machine05 13.35
• machine20 17.5
• machine33 3.83
• machine16 5.0
• machine10 2.33
• machine01 20.0","• machine01 6
• machine05 4
• machine10 4
• machine16 2
• machine20 2
• machine28 3
• machine32 2
• machine33 5"
• date136 item4676 179208 0 38,"• machine04 34.0
• machine05 42.5","• machine04 35
• machine05 3"
• date136 item4727 6332 0 22,"• machine22 3.71
• machine09 3.25
• machine08 3.33
• machine21 2.43","• machine08 10
• machine09 2
• machine21 4
• machine22 5"
• date136 item5023 179208 0 32,• machine02 32.5,• machine02 32
• date136 item5067 52115 0 10,"• machine28 4.31
• machine10 6.94","• machine10 8
• machine28 2"
• date136 item5135 145749 0 158,"• machine09 21.62
• machine10 5.33
• machine05 30.5
• machine31 18.78
• machine34 29.82
• machine28 24.12
• machine23 25.13
• machine21 6.0","• machine05 4
• machine09 2
• machine10 2
• machine21 9
• machine23 3
• machine28 4
• machine31 10"
• date136 item5159 106952 0 108,"• machine06 22.62
• machine05 6.17
• machine01 5.0
• machine19 21.49","• machine01 3
• machine05 1
• machine06 6
• machine19 6"
• date136 item5220 27256 0 2,"• machine23 3.67
• machine30 1.65
• machine09 3.18",
• date136 item5245 104092 1 106,"• machine32 14.0
• machine06 18.0
• machine05 18.83
• machine20 18.0
• machine33 21.0","• machine05 2
• machine06 3
• machine20 5
• machine32 1
• machine33 1"
• date136 item5334 13140 0 9,"• machine29 4.6
• machine28 5.87","• machine28 5
• machine29 4"
• date136 item5407 40772 0 27,"• machine33 9.29
• machine32 6.15
• machine07 3.0
• machine05 9.56","• machine05 1
• machine32 1
• machine33 1"
• date136 item5556 8493 0 2,• machine21 4.25,• machine21 2
• date136 item5595 104092 0 127,"• machine06 22.17
• machine18 20.0
• machine01 23.0
• machine05 20.82
• machine20 21.47
• machine17 21.0","• machine01 7
• machine05 1
• machine06 2
• machine17 7
• machine18 3
• machine20 7"
• date136 item5698 77242 0 7,• machine10 7.33,• machine10 7
• date136 item5863 52115 0 5,• machine30 5.77,• machine30 1
• date136 item6016 6983 1 3,"• machine22 7.08
• machine30 2.57
• machine28 2.71
• machine21 2.97","• machine21 1
• machine22 1
• machine30 1"
• date136 item6025 6498 0 1,"• machine28 0.88
• machine14 2.39",• machine28 1
• date136 item6071 21268 0 6,"• machine28 3.77
• machine23 7.41
• machine08 5.37
• machine31 5.5
• machine34 5.98
• machine22 7.3
• machine21 7.1
• machine32 6.82
• machine35 5.67
• machine10 6.0","• machine10 1
• machine21 1
• machine23 1
• machine28 1
• machine31 1
• machine34 1
• machine35 1"
• date136 item6217 6498 0 6,"• machine24 0.25
• machine14 3.77","• machine14 2
• machine24 4"
• date136 item731 21887 0 5,"• machine07 6.56
• machine25 5.0
• machine14 4.66
• machine22 5.72
• machine28 4.29
• machine09 5.44
• machine23 5.67
• machine21 4.34
• machine08 4.42
• machine26 4.98","• machine14 1
• machine21 1
• machine22 1
• machine23 1
• machine25 1
• machine26 1"
• date136 item923 86821 1 3,• machine09 7.75,• machine09 3
• date136 item96 6516 1 19,"• machine14 3.22
• machine31 3.42
• machine09 3.3
• machine08 3.75
• machine34 4.0
• machine22 3.22","• machine08 7
• machine09 2
• machine14 4
• machine31 4
• machine34 2"
• date136 item978 33640 0 26,"• machine33 5.57
• machine21 5.0
• machine32 3.8","• machine32 2
• machine33 1"
• date137 item1162 13126 1 84,"• machine14 4.73
• machine25 3.87
• machine21 4.25
• machine22 4.94
• machine28 4.33
• machine09 3.35
• machine35 4.5
• machine01 5.57
• machine07 6.22
• machine23 5.44","• machine01 15
• machine07 12
• machine09 14
• machine14 1
• machine21 11
• machine22 14
• machine23 4
• machine25 9
• machine28 1
• machine35 3"
• date137 item1253 145749 0 95,"• machine22 13.02
• machine05 13.7
• machine32 10.0
• machine28 11.0
• machine08 13.0
• machine04 12.59
• machine20 10.07
• machine31 13.17","• machine04 14
• machine05 11
• machine08 15
• machine20 2
• machine22 10
• machine28 18
• machine31 13
• machine32 12"
• date137 item1498 27256 1 2,"• machine21 2.23
• machine22 3.0
• machine08 2.87","• machine08 1
• machine21 1
• machine22 1"
• date137 item1849 179208 0 6,• machine28 12.0,• machine28 6
• date137 item1896 103554 0 17,"• machine08 7.67
• machine33 10.92","• machine08 8
• machine33 9"
• date137 item1906 8065 1 4,• machine29 4.0,• machine29 4
• date137 item1930 39200 1 60,"• machine32 15.0
• machine05 15.0","• machine05 7
• machine32 53"
• date137 item2016 52115 0 20,"• machine29 3.34
• machine08 7.64","• machine08 15
• machine29 5"
• date137 item2126 103554 0 9,"• machine33 5.5
• machine32 12.92","• machine32 4
• machine33 5"
• date137 item2177 179208 0 47,• machine06 23.75,• machine06 47
• date137 item2216 179208 0 207,• machine05 103.57,• machine05 207
• date137 item2344 179208 0 30,• machine14 15.0,• machine14 30
• date137 item2355 6498 0 5,• machine30 2.5,• machine30 5
• date137 item2552 8065 1 4,• machine28 4.17,• machine28 4
• date137 item2596 103554 0 4,• machine23 9.67,• machine23 4
• date137 item2629 179208 0 150,"• machine23 25.0
• machine32 25.0
• machine04 25.0","• machine04 97
• machine23 10
• machine32 43"
• date137 item2732 179208 0 22,• machine05 45.0,• machine05 22
• date137 item2884 106952 0 204,"• machine05 30.0
• machine04 26.67
• machine20 27.4
• machine28 19.0","• machine04 72
• machine05 73
• machine20 2
• machine28 50"
• date137 item2921 179208 0 20,• machine28 20.0,• machine28 20
• date137 item2932 179208 0 30,"• machine23 10.17
• machine04 10.17
• machine28 10.17","• machine04 10
• machine23 9
• machine28 10"
• date137 item3011 81204 0 4,• machine04 8.5,• machine04 4
• date137 item3091 179208 1 138,"• machine05 23.29
• machine32 24.0
• machine20 22.89","• machine05 87
• machine20 20
• machine32 31"
• date137 item3257 81204 0 17,• machine21 8.5,• machine21 17
• date137 item3263 179208 0 24,• machine05 12.0,• machine05 24
• date137 item3505 179208 0 108,"• machine32 20.5
• machine05 19.33
• machine20 15.0","• machine05 103
• machine20 2
• machine32 3"
• date137 item3640 179208 0 43,• machine19 87.5,• machine19 43
• date137 item3796 8600 0 44,"• machine35 5.0
• machine21 3.11
• machine08 4.5
• machine10 3.67
• machine28 4.71
• machine30 3.26","• machine08 8
• machine10 9
• machine21 3
• machine28 11
• machine30 4
• machine35 9"
• date137 item3892 179208 0 11,• machine29 22.6,• machine29 11
• date137 item3950 6498 1 2,• machine09 2.82,• machine09 2
• date137 item3965 38087 0 73,"• machine21 6.5
• machine14 8.82
• machine33 8.83
• machine10 6.5
• machine29 9.31
• machine28 7.16
• machine05 8.0
• machine09 6.58
• machine23 7.87
• machine08 8.33","• machine05 3
• machine08 2
• machine09 11
• machine10 7
• machine14 6
• machine21 7
• machine23 15
• machine28 14
• machine29 4
• machine33 3"
• date137 item4107 52115 1 11,• machine21 5.67,• machine21 11
• date137 item4173 6498 0 1,• machine30 2.21,• machine30 1
• date137 item4234 6498 0 2,• machine21 2.57,• machine21 2
• date137 item4268 105576 1 12,"• machine33 3.83
• machine01 12.0
• machine32 10.56
• machine19 3.75
• machine20 20.96
• machine03 21.74
• machine06 18.64
• machine05 18.26
• machine16 5.0","• machine01 3
• machine03 2
• machine19 1
• machine20 1
• machine32 1
• machine33 3"
• date137 item4337 6498 1 2,• machine22 1.0,• machine22 2
• date137 item4344 6498 0 1,• machine30 2.15,• machine30 1
• date137 item4390 23912 0 57,"• machine28 4.75
• machine09 5.05
• machine23 7.8
• machine14 4.58
• machine10 5.5
• machine04 4.67
• machine08 5.0
• machine22 7.62
• machine29 5.85
• machine30 7.8
• machine21 4.32","• machine04 5
• machine08 6
• machine09 3
• machine10 4
• machine14 3
• machine21 9
• machine22 7
• machine23 3
• machine28 7
• machine29 5
• machine30 6"
• date137 item4455 8065 0 8,• machine14 4.17,• machine14 8
• date137 item4515 179208 0 7,• machine33 15.5,• machine33 7
• date137 item4574 6498 0 1,• machine10 3.67,• machine10 1
• date137 item4592 104092 0 521,"• machine06 104.8
• machine02 97.2
• machine16 111.4
• machine19 104.84
• machine32 105.0","• machine02 140
• machine06 54
• machine16 134
• machine19 120
• machine32 72"
• date137 item4718 106952 0 98,"• machine05 35.0
• machine33 33.5
• machine06 27.29
• machine01 3.33","• machine01 28
• machine05 40
• machine06 25
• machine33 5"
• date137 item4793 22344 0 5,"• machine10 5.17
• machine09 5.33
• machine14 4.33
• machine23 4.89
• machine21 5.67
• machine08 5.15","• machine08 1
• machine09 1
• machine14 1
• machine21 1
• machine23 1"
• date137 item4851 6516 0 12,"• machine09 2.6
• machine21 1.52
• machine10 2.42
• machine28 3.09
• machine30 2.16
• machine08 2.84","• machine08 3
• machine09 2
• machine10 2
• machine21 2
• machine28 1
• machine30 2"
• date137 item5048 6498 0 1,• machine23 1.77,• machine23 1
• date137 item5396 6498 0 1,• machine29 3.32,• machine29 1
• date137 item552 29252 0 24,"• machine28 4.0
• machine30 4.5
• machine21 4.67","• machine21 12
• machine28 2
• machine30 10"
• date137 item5805 9195 0 25,"• machine23 3.8
• machine21 5.23
• machine09 4.35
• machine14 5.12
• machine10 4.5
• machine08 4.06","• machine08 4
• machine09 5
• machine10 7
• machine14 2
• machine21 2
• machine23 5"
• date137 item5844 6498 0 4,• machine29 2.04,• machine29 4
• date137 item5848 6498 0 1,• machine14 1.55,• machine14 1
• date137 item5885 27256 0 6,"• machine09 1.98
• machine08 1.67
• machine21 1.77","• machine08 1
• machine09 2
• machine21 3"
